"state_county_fips","POP_ESTIMATE_2014"
0,"318,857,056"
1000,"4,849,377"
1001,"55,395"
1003,"200,111"
1005,"26,887"
1007,"22,506"
1009,"57,719"
1011,"10,764"
1013,"20,296"
1015,"115,916"
1017,"34,076"
1019,"26,037"
1021,"43,931"
1023,"13,323"
1025,"24,945"
1027,"13,552"
1029,"15,080"
1031,"50,909"
1033,"54,543"
1035,"12,670"
1037,"10,886"
1039,"37,914"
1041,"13,977"
1043,"81,289"
1045,"49,484"
1047,"41,711"
1049,"71,065"
1051,"80,977"
1053,"37,733"
1055,"103,531"
1057,"16,874"
1059,"31,601"
1061,"26,712"
1063,"8,553"
1065,"15,184"
1067,"17,190"
1069,"104,193"
1071,"52,665"
1073,"660,793"
1075,"14,086"
1077,"93,096"
1079,"33,477"
1081,"154,255"
1083,"90,787"
1085,"10,580"
1087,"19,425"
1089,"350,299"
1091,"20,110"
1093,"30,271"
1095,"94,636"
1097,"415,123"
1099,"21,947"
1101,"226,189"
1103,"119,607"
1105,"9,826"
1107,"20,365"
1109,"33,389"
1111,"22,539"
1113,"59,608"
1115,"86,697"
1117,"206,655"
1119,"13,166"
1121,"81,322"
1123,"41,165"
1125,"202,212"
1127,"65,471"
1129,"16,834"
1131,"11,098"
1133,"24,150"
2000,"736,732"
2013,"3,360"
2016,"5,750"
2020,"301,010"
2050,"17,868"
2060,"957"
2068,"1,921"
2070,"4,988"
2090,"99,357"
2100,"2,566"
2105,"2,082"
2110,"32,406"
2122,"57,477"
2130,"13,787"
2150,"13,986"
2164,"1,631"
2170,"97,882"
2180,"9,817"
2185,"9,703"
2188,"7,717"
2195,"3,160"
2198,"6,396"
2220,"8,900"
2230,"1,036"
2240,"6,931"
2261,"9,488"
2270,"8,010"
2275,"2,364"
2282,"635"
2290,"5,547"
4000,"6,731,484"
4001,"71,828"
4003,"127,448"
4005,"137,682"
4007,"53,119"
4009,"37,957"
4011,"9,346"
4012,"20,231"
4013,"4,087,191"
4015,"203,361"
4017,"108,101"
4019,"1,004,516"
4021,"401,918"
4023,"46,695"
4025,"218,844"
4027,"203,247"
5000,"2,966,369"
5001,"18,594"
5003,"20,948"
5005,"40,857"
5007,"242,321"
5009,"37,196"
5011,"11,148"
5013,"5,202"
5015,"27,744"
5017,"11,180"
5019,"22,576"
5021,"15,118"
5023,"25,634"
5025,"8,449"
5027,"23,933"
5029,"21,083"
5031,"102,518"
5033,"61,697"
5035,"49,548"
5037,"17,227"
5039,"7,755"
5041,"12,264"
5043,"18,622"
5045,"120,768"
5047,"17,805"
5049,"12,125"
5051,"97,322"
5053,"18,144"
5055,"43,694"
5057,"22,327"
5059,"33,368"
5061,"13,500"
5063,"36,959"
5065,"13,486"
5067,"17,534"
5069,"72,297"
5071,"26,005"
5073,"7,111"
5075,"16,931"
5077,"9,860"
5079,"13,970"
5081,"12,532"
5083,"21,958"
5085,"71,557"
5087,"15,740"
5089,"16,367"
5091,"43,428"
5093,"44,235"
5095,"7,582"
5097,"9,082"
5099,"8,723"
5101,"7,904"
5103,"24,828"
5105,"10,245"
5107,"19,930"
5109,"11,024"
5111,"24,246"
5113,"20,225"
5115,"63,201"
5117,"8,304"
5119,"392,702"
5121,"17,571"
5123,"26,899"
5125,"115,719"
5127,"10,693"
5129,"7,929"
5131,"126,776"
5133,"17,426"
5135,"16,906"
5137,"12,494"
5139,"40,227"
5141,"16,851"
5143,"220,792"
5145,"78,592"
5147,"6,910"
5149,"21,951"
6000,"38,802,500"
6001,"1,610,921"
6003,"1,116"
6005,"36,742"
6007,"224,241"
6009,"44,624"
6011,"21,419"
6013,"1,111,339"
6015,"27,212"
6017,"183,087"
6019,"965,974"
6021,"27,955"
6023,"134,809"
6025,"179,091"
6027,"18,410"
6029,"874,589"
6031,"150,269"
6033,"64,184"
6035,"31,749"
6037,"10,116,705"
6039,"154,548"
6041,"260,750"
6043,"17,682"
6045,"87,869"
6047,"266,353"
6049,"9,023"
6051,"13,997"
6053,"431,344"
6055,"141,667"
6057,"98,893"
6059,"3,145,515"
6061,"371,694"
6063,"18,606"
6065,"2,329,271"
6067,"1,482,026"
6069,"58,267"
6071,"2,112,619"
6073,"3,263,431"
6075,"852,469"
6077,"715,597"
6079,"279,083"
6081,"758,581"
6083,"440,668"
6085,"1,894,605"
6087,"271,804"
6089,"179,804"
6091,"3,003"
6093,"43,628"
6095,"431,131"
6097,"500,292"
6099,"531,997"
6101,"95,847"
6103,"63,067"
6105,"13,170"
6107,"458,198"
6109,"53,831"
6111,"846,178"
6113,"207,590"
6115,"73,966"
8000,"5,355,866"
8001,"480,718"
8003,"16,177"
8005,"618,821"
8007,"12,244"
8009,"3,645"
8011,"5,630"
8013,"313,333"
8014,"62,138"
8015,"18,363"
8017,"1,871"
8019,"9,187"
8021,"8,265"
8023,"3,568"
8025,"5,360"
8027,"4,361"
8029,"29,870"
8031,"663,862"
8033,"1,978"
8035,"314,638"
8037,"52,921"
8039,"24,195"
8041,"663,519"
8043,"46,502"
8045,"57,461"
8047,"5,851"
8049,"14,546"
8051,"15,725"
8053,"786"
8055,"6,462"
8057,"1,396"
8059,"558,503"
8061,"1,402"
8063,"8,072"
8065,"7,357"
8067,"53,989"
8069,"324,122"
8071,"14,052"
8073,"5,510"
8075,"22,524"
8077,"148,255"
8079,"698"
8081,"12,928"
8083,"25,772"
8085,"40,873"
8087,"28,328"
8089,"18,488"
8091,"4,629"
8093,"16,345"
8095,"4,363"
8097,"17,626"
8099,"12,034"
8101,"161,875"
8103,"6,707"
8105,"11,607"
8107,"23,865"
8109,"6,196"
8111,"720"
8113,"7,840"
8115,"2,348"
8117,"29,404"
8119,"23,389"
8121,"4,780"
8123,"277,670"
8125,"10,202"
9000,"3,596,677"
9001,"945,438"
9003,"897,985"
9005,"184,993"
9007,"164,943"
9009,"861,277"
9011,"273,676"
9013,"151,367"
9015,"116,998"
10000,"935,614"
10001,"171,987"
10003,"552,778"
10005,"210,849"
11000,"658,893"
11001,"658,893"
12000,"19,893,297"
12001,"256,380"
12003,"27,093"
12005,"178,985"
12007,"26,702"
12009,"556,885"
12011,"1,869,235"
12013,"14,532"
12015,"168,474"
12017,"139,377"
12019,"199,798"
12021,"348,777"
12023,"67,857"
12027,"35,012"
12029,"15,907"
12031,"897,698"
12033,"310,659"
12035,"102,408"
12037,"11,815"
12039,"46,281"
12041,"16,997"
12043,"13,635"
12045,"15,944"
12047,"14,048"
12049,"27,469"
12051,"38,505"
12053,"175,855"
12055,"98,236"
12057,"1,316,298"
12059,"19,650"
12061,"144,755"
12063,"48,801"
12065,"14,050"
12067,"8,835"
12069,"315,690"
12071,"679,513"
12073,"283,988"
12075,"39,613"
12077,"8,360"
12079,"18,518"
12081,"351,746"
12083,"339,167"
12085,"153,392"
12086,"2,662,874"
12087,"77,136"
12089,"76,619"
12091,"196,512"
12093,"39,149"
12095,"1,253,001"
12097,"310,211"
12099,"1,397,710"
12101,"485,331"
12103,"938,098"
12105,"634,638"
12107,"72,143"
12109,"217,919"
12111,"291,028"
12113,"163,422"
12115,"396,962"
12117,"442,516"
12119,"114,350"
12121,"44,022"
12123,"22,582"
12125,"15,190"
12127,"507,531"
12129,"31,432"
12131,"61,530"
12133,"24,451"
13000,"10,097,343"
13001,"18,540"
13003,"8,223"
13005,"11,281"
13007,"3,255"
13009,"45,909"
13011,"18,295"
13013,"73,240"
13015,"101,736"
13017,"17,464"
13019,"18,700"
13021,"153,905"
13023,"12,795"
13025,"18,417"
13027,"15,418"
13029,"33,906"
13031,"72,087"
13033,"22,709"
13035,"23,368"
13037,"6,463"
13039,"52,027"
13043,"10,888"
13045,"114,093"
13047,"65,621"
13049,"12,897"
13051,"283,379"
13053,"11,837"
13055,"24,939"
13057,"230,985"
13059,"120,938"
13061,"3,102"
13063,"267,542"
13065,"6,831"
13067,"730,981"
13069,"42,811"
13071,"46,102"
13073,"139,257"
13075,"17,214"
13077,"135,571"
13079,"12,387"
13081,"22,934"
13083,"16,389"
13085,"22,957"
13087,"27,220"
13089,"722,161"
13091,"20,976"
13093,"14,188"
13095,"92,407"
13097,"138,776"
13099,"10,491"
13101,"4,003"
13103,"55,423"
13105,"19,438"
13107,"22,755"
13109,"10,898"
13111,"23,753"
13113,"109,664"
13115,"96,063"
13117,"204,302"
13119,"22,264"
13121,"996,319"
13123,"28,829"
13125,"3,053"
13127,"82,175"
13129,"56,047"
13131,"25,359"
13133,"16,490"
13135,"877,922"
13137,"43,752"
13139,"190,761"
13141,"8,509"
13143,"28,641"
13145,"32,876"
13147,"25,377"
13149,"11,603"
13151,"213,869"
13153,"149,111"
13155,"9,104"
13157,"61,870"
13159,"13,432"
13161,"14,859"
13163,"16,272"
13165,"9,125"
13167,"9,701"
13169,"28,787"
13171,"18,207"
13173,"10,373"
13175,"47,851"
13177,"29,191"
13179,"65,198"
13181,"7,622"
13183,"17,113"
13185,"113,523"
13187,"31,176"
13189,"21,370"
13191,"14,214"
13193,"13,792"
13195,"28,312"
13197,"8,797"
13199,"21,198"
13201,"5,958"
13205,"22,771"
13207,"27,051"
13209,"8,991"
13211,"17,956"
13213,"39,410"
13215,"200,887"
13217,"103,675"
13219,"35,093"
13221,"14,673"
13223,"148,987"
13225,"26,922"
13227,"29,997"
13229,"18,991"
13231,"17,784"
13233,"41,133"
13235,"11,483"
13237,"21,192"
13239,"2,315"
13241,"16,243"
13243,"7,313"
13245,"201,368"
13247,"87,754"
13249,"5,163"
13251,"14,085"
13253,"8,686"
13255,"63,988"
13257,"25,480"
13259,"5,744"
13261,"31,232"
13263,"6,390"
13265,"1,693"
13267,"25,224"
13269,"8,442"
13271,"16,518"
13273,"9,132"
13275,"44,959"
13277,"40,704"
13279,"27,282"
13281,"11,098"
13283,"6,778"
13285,"69,469"
13287,"8,153"
13289,"8,320"
13291,"21,984"
13293,"26,256"
13295,"68,218"
13297,"87,615"
13299,"35,515"
13301,"5,520"
13303,"20,635"
13305,"29,949"
13307,"2,649"
13309,"7,995"
13311,"27,970"
13313,"103,542"
13315,"8,847"
13317,"9,940"
13319,"9,326"
13321,"20,940"
15000,"1,419,561"
15001,"194,190"
15003,"991,788"
15005,"89"
15007,"70,475"
15009,"163,019"
16000,"1,634,464"
16001,"426,236"
16003,"3,861"
16005,"83,347"
16007,"5,957"
16009,"9,118"
16011,"45,269"
16013,"21,482"
16015,"6,824"
16017,"41,585"
16019,"108,623"
16021,"10,979"
16023,"2,622"
16025,"1,039"
16027,"203,143"
16029,"6,837"
16031,"23,540"
16033,"867"
16035,"8,562"
16037,"4,140"
16039,"26,094"
16041,"13,021"
16043,"12,867"
16045,"16,866"
16047,"15,064"
16049,"16,215"
16051,"27,021"
16053,"22,818"
16055,"147,326"
16057,"38,411"
16059,"7,726"
16061,"3,838"
16063,"5,316"
16065,"38,038"
16067,"20,323"
16069,"40,007"
16071,"4,184"
16073,"11,353"
16075,"22,836"
16077,"7,617"
16079,"12,390"
16081,"10,341"
16083,"80,914"
16085,"9,826"
16087,"10,021"
17000,"12,880,580"
17001,"66,988"
17003,"7,492"
17005,"17,269"
17007,"53,869"
17009,"6,832"
17011,"33,840"
17013,"4,956"
17015,"14,715"
17017,"13,156"
17019,"207,133"
17021,"33,892"
17023,"16,180"
17025,"13,520"
17027,"37,857"
17029,"53,320"
17031,"5,246,456"
17033,"19,393"
17035,"10,833"
17037,"105,462"
17039,"16,284"
17041,"19,889"
17043,"932,708"
17045,"17,841"
17047,"6,617"
17049,"34,320"
17051,"21,870"
17053,"13,688"
17055,"39,411"
17057,"36,007"
17059,"5,291"
17061,"13,434"
17063,"50,425"
17065,"8,296"
17067,"18,564"
17069,"4,129"
17071,"6,916"
17073,"49,635"
17075,"28,879"
17077,"59,677"
17079,"9,623"
17081,"38,534"
17083,"22,571"
17085,"22,254"
17087,"12,601"
17089,"527,306"
17091,"111,375"
17093,"121,350"
17095,"52,069"
17097,"705,186"
17099,"111,241"
17101,"16,519"
17103,"34,735"
17105,"37,903"
17107,"29,746"
17109,"31,880"
17111,"307,283"
17113,"174,061"
17115,"108,350"
17117,"46,453"
17119,"266,560"
17121,"38,571"
17123,"12,014"
17125,"13,898"
17127,"14,905"
17129,"12,570"
17131,"15,945"
17133,"33,722"
17135,"29,359"
17137,"34,929"
17139,"14,837"
17141,"52,085"
17143,"187,319"
17145,"21,672"
17147,"16,431"
17149,"16,022"
17151,"4,276"
17153,"5,815"
17155,"5,814"
17157,"32,869"
17159,"16,061"
17161,"146,063"
17163,"265,729"
17165,"24,612"
17167,"198,997"
17169,"7,330"
17171,"5,204"
17173,"22,048"
17175,"5,813"
17177,"46,435"
17179,"135,707"
17181,"17,447"
17183,"79,728"
17185,"11,549"
17187,"17,874"
17189,"14,337"
17191,"16,543"
17193,"14,374"
17195,"56,876"
17197,"685,419"
17199,"67,008"
17201,"288,542"
17203,"39,187"
18000,"6,596,855"
18001,"34,791"
18003,"365,918"
18005,"80,217"
18007,"8,700"
18009,"12,401"
18011,"61,915"
18013,"14,962"
18015,"19,923"
18017,"38,438"
18019,"114,262"
18021,"26,562"
18023,"32,776"
18025,"10,655"
18027,"32,729"
18029,"49,506"
18031,"26,524"
18033,"42,383"
18035,"117,074"
18037,"42,345"
18039,"201,971"
18041,"23,468"
18043,"76,179"
18045,"16,658"
18047,"22,934"
18049,"20,500"
18051,"33,759"
18053,"68,569"
18055,"32,726"
18057,"302,623"
18059,"71,978"
18061,"39,299"
18063,"156,056"
18065,"48,995"
18067,"82,982"
18069,"36,706"
18071,"43,705"
18073,"33,475"
18075,"21,179"
18077,"32,494"
18079,"28,000"
18081,"147,538"
18083,"37,938"
18085,"78,564"
18087,"38,436"
18089,"490,228"
18091,"111,444"
18093,"45,704"
18095,"130,069"
18097,"934,243"
18099,"47,107"
18101,"10,203"
18103,"35,954"
18105,"143,339"
18107,"38,146"
18109,"69,693"
18111,"14,156"
18113,"47,618"
18115,"6,035"
18117,"19,626"
18119,"20,969"
18121,"17,233"
18123,"19,454"
18125,"12,624"
18127,"167,076"
18129,"25,540"
18131,"12,967"
18133,"37,618"
18135,"25,384"
18137,"28,497"
18139,"16,892"
18141,"267,618"
18143,"23,712"
18145,"44,579"
18147,"20,801"
18149,"23,074"
18151,"34,308"
18153,"21,050"
18155,"10,452"
18157,"183,074"
18159,"15,415"
18161,"7,246"
18163,"182,006"
18165,"15,693"
18167,"108,175"
18169,"32,252"
18171,"8,352"
18173,"61,149"
18175,"27,878"
18177,"67,671"
18179,"27,862"
18181,"24,453"
18183,"33,403"
19000,"3,107,126"
19001,"7,454"
19003,"3,875"
19005,"14,038"
19007,"12,661"
19009,"5,794"
19011,"25,680"
19013,"132,897"
19015,"26,433"
19017,"24,721"
19019,"21,038"
19021,"20,578"
19023,"15,006"
19025,"9,866"
19027,"20,562"
19029,"13,448"
19031,"18,411"
19033,"43,254"
19035,"11,836"
19037,"12,264"
19039,"9,217"
19041,"16,515"
19043,"17,692"
19045,"48,051"
19047,"17,228"
19049,"77,400"
19051,"8,781"
19053,"8,263"
19055,"17,398"
19057,"40,255"
19059,"16,935"
19061,"96,370"
19063,"9,990"
19065,"20,343"
19067,"16,077"
19069,"10,436"
19071,"7,022"
19073,"9,200"
19075,"12,375"
19077,"10,722"
19079,"15,117"
19081,"11,027"
19083,"17,311"
19085,"14,324"
19087,"20,217"
19089,"9,449"
19091,"9,640"
19093,"7,042"
19095,"16,375"
19097,"19,482"
19099,"36,872"
19101,"17,325"
19103,"142,287"
19105,"20,454"
19107,"10,231"
19109,"15,222"
19111,"35,286"
19113,"217,751"
19115,"11,161"
19117,"8,701"
19119,"11,683"
19121,"15,609"
19123,"22,370"
19125,"33,365"
19127,"40,866"
19129,"14,831"
19131,"10,779"
19133,"8,996"
19135,"8,001"
19137,"10,421"
19139,"42,903"
19141,"14,056"
19143,"6,218"
19145,"15,496"
19147,"9,099"
19149,"24,874"
19151,"7,138"
19153,"459,862"
19155,"93,128"
19157,"18,668"
19159,"5,051"
19161,"10,035"
19163,"171,387"
19165,"11,948"
19167,"34,681"
19169,"94,073"
19171,"17,451"
19173,"6,143"
19175,"12,516"
19177,"7,468"
19179,"35,212"
19181,"47,956"
19183,"22,070"
19185,"6,395"
19187,"36,955"
19189,"10,559"
19191,"20,768"
19193,"102,271"
19195,"7,624"
19197,"12,840"
20000,"2,904,021"
20001,"12,909"
20003,"7,883"
20005,"16,513"
20007,"4,897"
20009,"27,385"
20011,"14,772"
20013,"9,815"
20015,"66,227"
20017,"2,692"
20019,"3,481"
20021,"20,787"
20023,"2,693"
20025,"2,144"
20027,"8,317"
20029,"9,385"
20031,"8,433"
20033,"1,954"
20035,"35,963"
20037,"39,290"
20039,"2,908"
20041,"19,394"
20043,"7,874"
20045,"116,585"
20047,"3,030"
20049,"2,694"
20051,"29,013"
20053,"6,392"
20055,"37,184"
20057,"34,795"
20059,"25,611"
20061,"36,713"
20063,"2,727"
20065,"2,566"
20067,"7,816"
20069,"6,082"
20071,"1,301"
20073,"6,328"
20075,"2,603"
20077,"5,818"
20079,"34,820"
20081,"4,106"
20083,"1,916"
20085,"13,539"
20087,"18,855"
20089,"3,043"
20091,"574,272"
20093,"3,915"
20095,"7,698"
20097,"2,513"
20099,"20,960"
20101,"1,687"
20103,"78,797"
20105,"3,167"
20107,"9,502"
20109,"2,794"
20111,"33,212"
20113,"29,241"
20115,"12,208"
20117,"10,006"
20119,"4,357"
20121,"32,822"
20123,"6,284"
20125,"34,065"
20127,"5,698"
20129,"3,110"
20131,"10,148"
20133,"16,416"
20135,"3,105"
20137,"5,560"
20139,"15,936"
20141,"3,756"
20143,"6,065"
20145,"6,916"
20147,"5,533"
20149,"22,897"
20151,"9,850"
20153,"2,584"
20155,"63,794"
20157,"4,803"
20159,"10,015"
20161,"75,194"
20163,"5,155"
20165,"3,197"
20167,"6,956"
20169,"55,755"
20171,"5,080"
20173,"508,803"
20175,"23,465"
20177,"178,406"
20179,"2,539"
20181,"6,110"
20183,"3,769"
20185,"4,297"
20187,"2,111"
20189,"5,801"
20191,"23,528"
20193,"7,891"
20195,"2,902"
20197,"7,022"
20199,"1,506"
20201,"5,598"
20203,"2,176"
20205,"9,028"
20207,"3,157"
20209,"161,636"
21000,"4,413,457"
21001,"19,204"
21003,"20,384"
21005,"21,888"
21007,"8,240"
21009,"43,148"
21011,"12,206"
21013,"27,778"
21015,"126,413"
21017,"19,972"
21019,"48,832"
21021,"29,706"
21023,"8,406"
21025,"13,409"
21027,"19,888"
21029,"77,955"
21031,"12,875"
21033,"12,725"
21035,"38,282"
21037,"91,833"
21039,"4,978"
21041,"10,815"
21043,"27,223"
21045,"15,891"
21047,"74,250"
21049,"35,758"
21051,"21,147"
21053,"10,165"
21055,"9,224"
21057,"6,745"
21059,"98,275"
21061,"12,013"
21063,"7,672"
21065,"14,447"
21067,"310,797"
21069,"14,545"
21071,"38,108"
21073,"49,880"
21075,"6,265"
21077,"8,589"
21079,"16,858"
21081,"24,875"
21083,"37,618"
21085,"26,194"
21087,"11,043"
21089,"36,308"
21091,"8,753"
21093,"108,266"
21095,"28,163"
21097,"18,592"
21099,"18,597"
21101,"46,467"
21103,"15,572"
21105,"4,734"
21107,"46,376"
21109,"13,289"
21111,"760,026"
21113,"50,815"
21115,"23,262"
21117,"163,929"
21119,"15,892"
21121,"31,798"
21123,"14,180"
21125,"60,015"
21127,"15,804"
21129,"7,594"
21131,"10,918"
21133,"23,359"
21135,"13,880"
21137,"24,445"
21139,"9,359"
21141,"26,867"
21143,"8,430"
21145,"65,316"
21147,"17,863"
21149,"9,478"
21151,"87,340"
21153,"12,913"
21155,"20,007"
21157,"30,953"
21159,"12,537"
21161,"17,166"
21163,"29,139"
21165,"6,287"
21167,"21,319"
21169,"9,990"
21171,"10,704"
21173,"27,474"
21175,"13,303"
21177,"31,207"
21179,"44,812"
21181,"7,041"
21183,"23,977"
21185,"63,490"
21187,"10,645"
21189,"4,508"
21191,"14,493"
21193,"27,597"
21195,"63,034"
21197,"12,434"
21199,"63,825"
21201,"2,197"
21203,"16,826"
21205,"23,655"
21207,"17,774"
21209,"51,284"
21211,"44,875"
21213,"17,826"
21215,"17,668"
21217,"25,257"
21219,"12,520"
21221,"14,142"
21223,"8,786"
21225,"15,165"
21227,"120,460"
21229,"11,959"
21231,"20,486"
21233,"13,236"
21235,"35,503"
21237,"7,214"
21239,"25,563"
22000,"4,649,676"
22001,"62,486"
22003,"25,713"
22005,"117,029"
22007,"23,034"
